,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
165546,201607230001,2016,7,23,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the 3rd police district.,"07/23/2016: Two suicide bombers detonated targeting a Hazara protest in Kabul, Afghanistan. A third assailant was shot and killed before successfully detonating. In addition to the three assailants, at least 80 people were killed and 230 people were injured in the blasts. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,14,Private Citizens & Property,83.0,Protester,Not Applicable,Protesters,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,"The specific motive is unknown; however, sources suspected that the victims, who were members of the Hazara Shiite community, may have been targeted as part of a larger trend of sectarian violence between Afghanistan's majority Sunni and minority Shiite communities.",0.0,,,0,3.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,Three explosives-laden belts were used in the attack.,83.0,0.0,3.0,230.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""ISIS targets minority group; 80 dead,"" CNN, July 23, 2016.","""Deadly blast hits Kabul protest march,"" BBC, July 23, 2016.","""Twin blasts at Kabul rally leave 80 dead, 231 hurt,"" Qatar Tribune, July 24, 2016.",START Primary Collection,0,1,0,1,
165903,201608010013,2016,8,1,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Dispichri area of the 9th police district.,"08/01/2016: A suicide bomber detonated an explosives-laden vehicle at North Gate Hotel in Dispichri neighborhood, Kabul, Afghanistan. Following the blast, assailants wearing suicide vests and armed with projectiles and firearms attacked the hotel. At least four people, including one Afghan Police officer and three assailants, were killed and three other officers were injured in the blast and ensuing clash. The Taliban claimed responsibility and stated that the attack was carried out in retaliation for the death of their leader.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,2.0,Armed Assault,,,1,Business,8.0,Hotel/Resort,North Gate Hotel,Hotel,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,"The Taliban claimed responsibility for the incident and stated that the attack was carried out in retaliation for the death of Taliban leader, Mullah Akhtar Muhammad Mansur.",0.0,,,0,4.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,15.0,Vehicle,6.0,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,"An explosives-laden truck, rocket-propelled grenades (RPGs), and assault rifles were used in the attack.",4.0,0.0,3.0,3.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Unspecified property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Kabul's 'foreign base' hit by Taliban,"" BBC, August 1, 2016.","""1st LD: 4 killed, 3 injured in Kabul massive truck bombing: police,"" Xinhua General News Service, August 1, 2016.","""Truck Bomber, Gunmen Attack Foreigners' Hotel In Kabul,"" Radio Free Europe, August 1, 2016.",START Primary Collection,0,0,0,0,
167212,201609050002,2016,9,5,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,,"09/05/2016: A suicide bomber detonated near the Defense Ministry in Kabul, Afghanistan. This was one of two coordinated suicide attacks in the area on the same day. In addition to the assailants, at least 41 people were killed and 110 people were injured in both blasts. The Taliban claimed responsibility for the incidents.",1,1,1,0,,,1.0,1,1,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,,0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,,22.0,0.0,1.0,55.0,0.0,0.0,1,4.0,Unknown,-99.0,Unspecified property was damaged in this attack,0.0,,,,,,,,,,,,,,,,"Casualty numbers represent a division of the total number of those killed and wounded across incidents 201609050002 and 201609050003. Additionally, casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Afghanistan: Kabul suicide toll rises to 41 dead, 110 wounded: Officials,"" Khaama Press Online, September 7, 2016.","""Death toll in Kabul twin suicide blasts rise to 37; AFGHANISTAN ATTACK,"" EFE Newswire - Americas in Focus, September 6, 2016.","""Roundup: String of insurgent attacks in Kabul cause panic among Afghans, leaving many in distress,"" Xinhua General News Service, September 6, 2016.",START Primary Collection,0,0,0,0,"201609050002, 201609050003"
167213,201609050003,2016,9,5,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,,"09/05/2016: A suicide bomber detonated near the Defense Ministry in Kabul, Afghanistan. This was one of two coordinated suicide attacks in the area on the same day. In addition to the assailants, at least 41 people were killed and 110 people were injured in both blasts. The Taliban claimed responsibility for the incidents.",1,1,1,0,,,1.0,1,1,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,,0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,,21.0,0.0,1.0,55.0,0.0,0.0,1,4.0,Unknown,-99.0,Unspecified property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers represent a division of the total number of those killed and wounded across incidents 201609050002 and 201609050003. Additionally, casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Afghanistan: Kabul suicide toll rises to 41 dead, 110 wounded: Officials,"" Khaama Press Online, September 7, 2016.","""Death toll in Kabul twin suicide blasts rise to 37; AFGHANISTAN ATTACK,"" EFE Newswire - Americas in Focus, September 6, 2016.","""Roundup: String of insurgent attacks in Kabul cause panic among Afghans, leaving many in distress,"" Xinhua General News Service, September 6, 2016.",START Primary Collection,0,0,0,0,"201609050002, 201609050003"
168527,201610110006,2016,10,11,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Karte Sakhi shrine area.,"10/11/2016: An assailant opened fire at the Karte Sakhi shrine in Kabul, Afghanistan. At least 15 people, including the assailant, were killed and 36 others were injured in the attack. This was one of two attacks on religious institutions in Kabul on this date. The Khorasan Chapter of the Islamic State claimed responsibility for the incident, identifying the assailant as Ali Jan.",1,1,1,0,,,1.0,1,0,2,Armed Assault,,,,,15,Religious Figures/Institutions,87.0,Affiliated Institution,Karte Sakhi Shrine,Shrine,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,"The specific motive is unknown; however, sources posited that the attack was part of a larger trend of sectarian violence between Afghanistan's majority Sunni and minority Shiite communities.",0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,7.0,Grenade,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,5.0,Firearms,3.0,Handgun,,,,,"Grenades, machine guns, an AK-47 assault rifle, and a pistol were used in the attack.",15.0,0.0,1.0,36.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Gunman kills 14 at Shiite shrine in Kabul,"" CNN, October 11, 2016.","""Gunmen target Shia worshipers marking Ashoura in Kabul,"" Al Jazeera, October 11, 2016.","""ISKP Foments Sectarianism,"" Daily Outlook, October 22, 2016.",START Primary Collection,0,1,0,1,"201610110006, 201610110048"
170153,201611210001,2016,11,21,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Char Qala area.,"11/21/2016: A suicide bomber detonated at the Baqir Olum mosque in Char Qala, Kabul, Afghanistan. In addition to the assailant, at least 27 people were killed and 35 people were injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Unknown,Shiite Mosque,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,"The specific motive is unknown; however, sources suspected that the attack, which targeted a Shiite mosque, may have been targeted as part of a larger trend of sectarian violence between Afghanistan's majority Sunni and minority Shiite communities.",0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,An explosives-laden vest was used in the attack.,28.0,0.0,1.0,35.0,0.0,0.0,1,4.0,Unknown,-99.0,A mosque was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""At least 27 die in Kabul mosque bombing,"" The Statesman (AsiaNet), November 22, 2016.","""Daesh Claims Responsibility For Kabul Mosque Bombing,"" Tolo News, November 22, 2016.","""Kabul mosque attack death toll at 27 - police,"" Channel NewsAsia, November 21, 2016.",START Primary Collection,0,1,0,1,
171790,201701100003,2017,1,10,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred along the Darulaman Road.,"01/10/2017: A suicide bomber detonated an explosives-laden vehicle targeting rescue personnel and civilians gathering in response to an earlier bombing near the parliament building along Darulaman road in Kabul, Afghanistan. This was one of two coordinated attacks at the same location in a short period of time. At least 38 people were killed and 72 people were injured across both events. The Taliban claimed responsibility for the incident and accused the victims of working for the Afghan intelligence agency.",1,1,1,0,,,1.0,1,1,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,3.0,Police,25.0,Police Security Forces/Officers,Afghan Police,Officers,4.0,Afghanistan,,,,,,,,,Taliban,,,,,,The Taliban claimed responsibility for the incident and accused the victims of working for the Afghan intelligence agency.,0.0,,,0,-99.0,0.0,1.0,8.0,Personal claim,,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,,20.0,0.0,1.0,36.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here. Casualty numbers represent a division of the total number of those killed and wounded across incidents 201701100002 and 201701100003.","""Kabul explosions: 21 killed near Afghan parliament compound,"" CNN, January 10, 2017.","""36 Afghan parliament staff killed in Kabul attack,"" Khaama Press, January 11, 2017.","""Afghanistan Taliban claim Kabul double bomb attack near American University,"" CBS News, January 10, 2017.",START Primary Collection,0,0,0,0,"201701100002, 201701100003"
176949,201706150021,2017,6,15,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Dasht-e-Barchi area of the city.,"06/15/2017: Two suicide bombers armed with firearms attacked Al Zahra Mosque in Dasht-e-Barchi, Kabul, Afghanistan. In addition to the two assailants, four people were killed and seven people were injured in the attack. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Al Zahra Mosque,Mosque,4.0,Afghanistan,3.0,Police,25.0,Police Security Forces/Officers,Afghan Police,Officers,4.0,Afghanistan,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,,0.0,,,0,2.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),5.0,Firearms,3.0,Handgun,,,,,,,,,Explosives-laden vests and handguns were used in the attack.,6.0,0.0,2.0,7.0,0.0,0.0,1,4.0,Unknown,-99.0,A mosque was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"The victims include Ramazan Husainzada Haji Ramazan. Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Kabul attack: 'Blast and gunfire' at Shia mosque,"" BBC, June 15, 2017.","""4 At Least 6 Killed In Kabul Mosque Explosion,"" Tolo News, June 17, 2017.","""4 killed, 7 injured in Kabul mosque attack: official,"" Xinhua General News Service, June 15, 2017.",START Primary Collection,0,1,0,1,
179322,201708250001,2017,8,25,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Qala-e Najara area of the 11th police district.,"08/25/2017: Four assailants, armed with grenades, firearms, and knives attacked the Imam Zaman Mosque in Qala-e Najara, Kabul, Afghanistan. In addition to the four assailants, at least one of whom was a suicide bomber, 28 people were killed and 50 others were injured in the attack. The Khorasan Chapter of the Islamic State claimed responsibility for the incident, stating that the attack was in response to a cleric promoting the killing of Khorasan Chapter members.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,2.0,Armed Assault,,,15,Religious Figures/Institutions,86.0,Place of Worship,Imam Zaman Mosque,Mosque,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,"The Khorasan Chapter of the Islamic State claimed responsibility for the incident and stated that the attack was carried out in response to the mosque's imam promoting the defeat of the Islamic State of Iraq and the Levant (ISIL) in Mosul. Additionally, sources posited that the victims, who were predominantly members of the Shia Muslim community, may have been targeted as part of a larger trend of sectarian violence between Afghanistan's majority Sunni and minority Shia communities.",0.0,,,0,4.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),6.0,Explosives,7.0,Grenade,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,"Multiple 12-kilogram explosives-laden vests, grenades, Kalashnikov assault rifles, and knives were used in the attack.",32.0,0.0,4.0,50.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A mosque was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Death toll from attack on Afghan Shia rises to 28,"" Al Jazeera, August 26, 2017.","""Death Toll Rises To 28 In Kabul Shi'ite Mosque Attack,"" Radio Free Europe, August 26, 2017.","""At least 30 reported slain in Kabul siege,"" The Washington Post, August 26, 2017.",START Primary Collection,0,1,0,1,
179505,201708290006,2017,8,29,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Microrayan-e-Duwum area of the 9th police district.,"08/29/2017: A suicide bomber detonated targeting a New Kabul Bank branch in Microrayan-e-Duwum, Kabul, Afghanistan. In addition to the assailant, at least five people were killed and eight people were injured in the blast. A second assailant was arrested by security forces at the scene. The Taliban claimed responsibility for the attack.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,1,Business,3.0,Bank/Commerce,New Kabul Bank (NKB),Bank,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,,0.0,,,0,2.0,1.0,1.0,4.0,E-mail,,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,,6.0,0.0,1.0,8.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A bank and nearby property were damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Taliban bomber kills five at Kabul bank,"" The Washington Post, August 30, 2017.","""2nd LD Writethru: Suicide attack in Kabul claims 5 lives, wounds 8,"" Xinhua General News Service, August 29, 2017.","""Suicide attack near NKB in Kabul claims 5 lives,"" SalamWatandar.com, August 29, 2017.",START Primary Collection,0,0,0,0,
180379,201709290011,2017,9,29,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Qala-e-Fathullah neighborhood in the 10th police district.,"09/29/2017: A suicide bomber detonated targeting a Shia Muslim mosque in Qala-e-Fathullah, Kabul, Afghanistan. In addition to the assailant, five civilians were killed and 20 others were injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Unknown,Shia Mosque,4.0,Afghanistan,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,"The specific motive is unknown; however, sources suspected that the victims, predominantly Shia Muslims, were targeted as part of a larger trend of sectarian violence between Afghanistan's majority Sunni and minority Shia communities.",0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,An explosives-laden vest was used in the attack.,6.0,0.0,1.0,20.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""IS claims responsibility for suicide bombing near Kabul Shiite mosque,"" Deutsche Presse-Agentur, September 29, 2017.","""Suicide bomb blast near Kabul mosque blast kills five,"" Al Jazeera, September 29, 2017.","""Death toll rises to five in Kabul blast,"" Ani News, September 29, 2017.",START Primary Collection,0,1,0,1,
180978,201710200010,2017,10,20,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the 6th police district.,"10/20/2017: A suicide bomber detonated inside of the Imam Zaman mosque in Kabul, Afghanistan. In addition to the assailant, at least 56 people were killed and 55 people were injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the attack.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Imam Zaman Mosque,Mosque,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,,0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,An explosives-laden vest was used in the attack.,57.0,0.0,1.0,55.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A mosque was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Afghanistan- Taliban Kill 13 Police Officers in Kunduz Raid,"" Global English (Middle East and North Africa Financial Network), October 29, 2017.","""Taliban attacks on Afghan military increase,"" The Financial Daily, October 26, 2017.","""At least 72 killed in bombings on two Afghan mosques,"" TRT World, October 21, 2017.",START Primary Collection,0,1,0,1,
182311,201712080006,2017,12,8,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Sar-e-Kariz area of the Qala-e-Shada neighborhood.,"12/08/2017: An explosive device detonated in Sar-e-Kariz, Kabul, Afghanistan. At least seven people were killed and nine others were injured in the blast. No group claimed responsibility for the incident.",1,1,1,1,4.0,Lack of Intentionality,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,29.0,Sticky Bomb,,,,,,,,,,,,,A magnetic explosive device was used in the attack.,7.0,0.0,0.0,9.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Three vehicles were damaged in this attack.,0.0,,,,,,,,,,,,,,,,"There is doubt that this incident meets terrorism-related criteria. Sources noted that the blast may have been caused by the accidental explosion of a gas cylinder. Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Afghanistan: Kabul Explosion Kills Two, Injures Six,"" Tolo News, December 8, 2017.","""Death toll in Afghan capital blast increases,"" Tolo News, December 8, 2017.","""Xinhua: 2nd LD Writethru: 2 Killed, 6 Wounded In Kabul Bomb Attack,"" Xinhua, December 8, 2017.",START Primary Collection,-9,-9,0,-9,
182774,201712280001,2017,12,28,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Pule Sokhtia area.,"12/28/2017: A suicide bomber detonated an explosive vest and at least two other explosive devices in a building that houses both the Tebyan cultural center and the Afghan Voice Agency in Pule Sokhtia, Kabul, Afghanistan. In addition the assailant, 50 people were killed and at least 81 others were injured in the attack. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,87.0,Affiliated Institution,Tebyan Cultural Center,Shiite Cultural Center,4.0,Afghanistan,10.0,Journalists & Media,,,Afghan Voice Agency,Building,4.0,Afghanistan,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,Khorasan Chapter of the Islamic State,,,,,,"The specific motive is unknown; however, sources suspected that the attack, which targeted a Shia culture center, may have been part of a larger trend of sectarian violence between Afghanistan's Sunni majority and Shia minority communities.",0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,29.0,Sticky Bomb,6.0,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,Two magnetic explosive devices and an explosives-laden vest were used in the attack.,51.0,0.0,1.0,81.0,0.0,0.0,1,4.0,Unknown,-99.0,A cultural center was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Kabul bombing: Death toll rises to 50,"" Anadolu Agency (AA), December 30, 2017.","""Dozens dead, wounded in 3 blasts in Afghan capital, authorities say,"" CBS News, December 28, 2017.","""Over 41 killed in Kabul suicide attack: local media,"" Frontier Post, December 28, 2017.",START Primary Collection,0,1,0,1,
184927,201803170004,2018,3,17,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the 9th police district of the city,"03/17/2018: A suicide bomber detonated an explosives-laden vehicle targeting a G4S Secure Solutions vehicle in the 9th police district of Kabul, Afghanistan. In addition to the assailant, three civilians were killed and four others were injured in the blast. The Taliban claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,1,Business,13.0,Private Security Company/Firm,G4S Secure Solutions,Vehicle,999.0,Multinational,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,Taliban,,,,,,,0.0,,,0,1.0,0.0,1.0,4.0,E-mail,,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,,4.0,0.0,1.0,4.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Suicide Bomber Kills Two in Kabul, Say Police,"" News18.com, March 17, 2018.","""Suicide car bombing kills 3 civilians in Afghan capital,"" Anadolu Ajansi, March 17, 2018.","""Suicide Car-Bomb Attack Kills At Least Three In Kabul,"" Radio Free Europe, March 17, 2018.",START Primary Collection,0,1,1,1,
185020,201803210001,2018,3,21,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the 3rd police district of the city,"03/21/2018: A suicide bomber detonated an explosives-laden motorcycle near a Shia shrine in the 3rd police district of Kabul, Afghanistan. In addition to the suicide bomber, 29 people were killed and 52 others were wounded in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Unknown,Shia Shrine,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,"The specific motive is unknown; however, sources noted that the victims were celebrating Nowruz, the Persian New Year, at the time of the attack.",0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,,30.0,0.0,1.0,52.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""'Dozens killed' in explosion near Kabul University,"" Al Jazeera, March 21, 2018.","""Suicide bomber kills at least 26 people and wounds 18 in Kabul attack,"" TRT World, March 21, 2018.","""Casualties Feared In Kabul Explosion,"" Tolo News, March 21, 2018.",START Primary Collection,0,1,0,1,
186103,201804300003,2018,4,30,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,The incident occurred in the Sash Darak area of the 9th police district,"04/30/2018: A suicide bomber detonated near the National Directorate of Security (NDS) in Sash Darak, Kabul, Afghanistan. In addition to the assailant, four people were killed and five others were injured in the blast. This was one of two coordinated suicide bombings that occurred in Kabul on this date. The Khorasan Chapter of the Islamic State claimed responsibility for the incidents.",1,1,1,0,,,1.0,1,1,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,,0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,An explosives-laden vest was used in the attack.,5.0,0.0,1.0,5.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Eight journalists among 29 killed in twin Afghanistan blasts,"" CNN, April 30, 2018.","""Death toll rises to 40 in Kabul bomb blasts,"" The Indian Awaaz, May 1, 2018.","""Kabul attacks: Death toll rises to 29, ISIS claims responsibility,"" India Blooms, April 30, 2018.",START Primary Collection,0,1,0,1,"201804300003, 201804300004"
